model,model_full,quality,energy,speed
deepseek_8b_ol_q4km,deepseek-r1:8b,-0.8178969075445357,1.9290070921985816,40.869565217391305
gemma_2b_hf_4bit,google--gemma-2b-it:4bit,-1.866354556837184,1.2718571428571428,23.41137123745819
gemma_2b_hf_8bit,google--gemma-2b-it:8bit,-1.256616718753121,2.1299056603773585,12.282734646581693
gemma_4b_ol_q4km,gemma3:4b,-1.224607690340295,1.2888157894736842,40.64171122994652
phi3_4b_hf_4bit,microsoft--phi-3-mini-4k-instruct:4bit,-1.0285528691840176,1.7482952182952185,19.24769907963185
phi3_4b_hf_8bit,microsoft--phi-3-mini-4k-instruct:8bit,-1.5015896438752254,2.16680412371134,12.572909915748545
qwen25_3b_hf_4bit,qwen--qwen2.5-3b-instruct:4bit,3.3046587240219023,1.5540416666666668,17.647058823529413
qwen25_3b_hf_8bit,qwen--qwen2.5-3b-instruct:8bit,2.676575001120456,2.4722291666666667,7.332722273143905
qwen25_7b_hf_4bit,qwen--qwen2.5-7b-instruct:4bit,3.5776602746496065,3.1537916666666663,19.055180627233028
qwen25_7b_hf_8bit,qwen--qwen2.5-7b-instruct:8bit,-1.837047644521551,9.26912,3.423250718882651
qwen_4b_ol_q4km,qwen3:4b,1.7315559674479333,1.0827708333333337,65.75342465753425
qwen_8b_ol_q4km,qwen3:8b,-1.757783936183966,1.937659090909091,41.50943396226416
