评分指标 \ 模型,code_length,code_simplicity,compilation_success,cyclomatic_complexity,efficiency_dimension,functional_correctness,functional_dimension,has_code,has_docstring,has_type_hints,nesting_depth,quality_dimension,readability_dimension,readability_score,space_complexity_score,test_pass_rate,tests_passed,tests_total,time_complexity_score
code_length,1.0,-0.9707312469607249,0.43771050542644496,0.4520282173340882,0.01994645761340654,0.7150193740434455,0.6915636711531389,,0.8394708704713771,0.67591191587613,0.8628340931626381,-0.9707312469607249,0.8232264590768231,0.8232264590768231,0.4301077873828089,0.6526057954753505,0.7059710200917331,0.48824123215474585,-0.10161228228626175
code_simplicity,-0.9707312469607249,1.0,-0.3382217703302147,-0.622549237971326,0.05453363793715781,-0.6595386522551101,-0.6133647643521319,,-0.775251648680953,-0.7518929621357321,-0.7739645267214413,1.0,-0.7335845060608064,-0.7335845060608064,-0.3274775466307989,-0.6089822895996281,-0.6569078222096746,-0.38510906844269754,0.16302957410428123
compilation_success,0.43771050542644496,-0.3382217703302147,1.0,-0.11944591056779502,0.8492176545974723,0.5702771607071925,0.7953197074204665,,0.5465023885410881,-0.13409972622227836,0.6249804208558737,-0.3382217703302147,0.7900447349427903,0.7900447349427903,0.8354369893865687,0.4759493890014874,0.5057651924542407,0.980332970301534,0.7984337028592225
cyclomatic_complexity,0.4520282173340882,-0.622549237971326,-0.11944591056779502,1.0,-0.200506072822831,0.028604698268361067,-0.023621772196181626,,0.11725696663680532,0.7519159369001915,0.09679734144851738,-0.622549237971326,0.1425950366674765,0.1425950366674765,-0.03750059879500597,0.0035703759255928075,0.027627536656647793,-0.07636243851303218,-0.2353594143358227
efficiency_dimension,0.01994645761340654,0.05453363793715781,0.8492176545974723,-0.200506072822831,1.0,0.17487783039504146,0.4470694541611813,,0.08438072471849851,-0.47944409208144695,0.14971169070765675,0.0545336379371581,0.39010055680594696,0.39010055680594696,0.8265928697208264,0.15556163574296258,0.1112717192015783,0.8095112739951038,0.9862886933344652
functional_correctness,0.7150193740434455,-0.6595386522551101,0.5702771607071925,0.028604698268361067,0.17487783039504146,1.0,0.9515090306948105,,0.8936230340400263,0.4128429058414721,0.8981908383874324,-0.6595386522551102,0.7106476845017212,0.7106476845017212,0.49095119472446,0.9359091709661964,0.948899794955505,0.524232012523368,0.07090611834825614
functional_dimension,0.6915636711531389,-0.6133647643521319,0.7953197074204665,-0.023621772196181626,0.4470694541611813,0.9515090306948105,1.0,,0.8641049474571835,0.25443893233256204,0.8968645279815601,-0.613364764352132,0.8202811396364055,0.8202811396364055,0.6751549397262266,0.8688889996251312,0.8896409650166959,0.7539757323246811,0.3513258191135534
has_code,,,,,,,,,,,,,,,,,,,
has_docstring,0.8394708704713771,-0.775251648680953,0.5465023885410881,0.11725696663680532,0.08438072471849851,0.8936230340400263,0.8641049474571835,,1.0,0.4791330571286799,0.9671611198538262,-0.7752516486809532,0.860506298636755,0.860506298636755,0.45682138406860506,0.7434940104555195,0.7864906765972945,0.5152061536563264,-0.030277064232541305
has_type_hints,0.67591191587613,-0.7518929621357321,-0.13409972622227836,0.7519159369001915,-0.47944409208144695,0.4128429058414721,0.25443893233256204,,0.4791330571286799,1.0,0.4972266796745629,-0.7518929621357321,0.3525663694616488,0.3525663694616488,-0.10533762145004721,0.34153703596964635,0.42127237646011845,-0.07974651599761158,-0.5581902495384554
nesting_depth,0.8628340931626381,-0.7739645267214413,0.6249804208558737,0.09679734144851738,0.14971169070765675,0.8981908383874324,0.8968645279815601,,0.9671611198538262,0.4972266796745629,1.0,-0.7739645267214413,0.9063497791667287,0.9063497791667287,0.5051814855409227,0.7524080576567985,0.8277683414478118,0.625160051925675,0.035812527019964034
quality_dimension,-0.9707312469607249,1.0,-0.3382217703302147,-0.622549237971326,0.0545336379371581,-0.6595386522551102,-0.613364764352132,,-0.7752516486809532,-0.7518929621357321,-0.7739645267214413,1.0,-0.7335845060608064,-0.7335845060608064,-0.3274775466307989,-0.6089822895996281,-0.6569078222096746,-0.38510906844269754,0.16302957410428123
readability_dimension,0.8232264590768231,-0.7335845060608064,0.7900447349427903,0.1425950366674765,0.39010055680594696,0.7106476845017212,0.8202811396364055,,0.860506298636755,0.3525663694616488,0.9063497791667287,-0.7335845060608064,1.0,1.0,0.6180464730815196,0.5628495225150323,0.6486662042628307,0.814432125573813,0.2980757154940595
readability_score,0.8232264590768231,-0.7335845060608064,0.7900447349427903,0.1425950366674765,0.39010055680594696,0.7106476845017212,0.8202811396364055,,0.860506298636755,0.3525663694616488,0.9063497791667287,-0.7335845060608064,1.0,1.0,0.6180464730815196,0.5628495225150323,0.6486662042628307,0.814432125573813,0.2980757154940595
space_complexity_score,0.4301077873828089,-0.3274775466307989,0.8354369893865687,-0.03750059879500597,0.8265928697208264,0.49095119472446,0.6751549397262266,,0.45682138406860506,-0.10533762145004721,0.5051814855409227,-0.3274775466307989,0.6180464730815196,0.6180464730815196,1.0,0.42019286277040624,0.36773412060705846,0.8004293779308248,0.722380750779587
test_pass_rate,0.6526057954753505,-0.6089822895996281,0.4759493890014874,0.0035703759255928075,0.15556163574296258,0.9359091709661964,0.8688889996251312,,0.7434940104555195,0.34153703596964635,0.7524080576567985,-0.6089822895996281,0.5628495225150323,0.5628495225150323,0.42019286277040624,1.0,0.973586530432488,0.44564339872772574,0.06792126564144901
tests_passed,0.7059710200917331,-0.6569078222096746,0.5057651924542407,0.027627536656647793,0.1112717192015783,0.948899794955505,0.8896409650166959,,0.7864906765972945,0.42127237646011845,0.8277683414478118,-0.6569078222096746,0.6486662042628307,0.6486662042628307,0.36773412060705846,0.973586530432488,1.0,0.5021287866380032,0.028886004814118342
tests_total,0.48824123215474585,-0.38510906844269754,0.980332970301534,-0.07636243851303218,0.8095112739951038,0.524232012523368,0.7539757323246811,,0.5152061536563264,-0.07974651599761158,0.625160051925675,-0.38510906844269754,0.814432125573813,0.814432125573813,0.8004293779308248,0.44564339872772574,0.5021287866380032,1.0,0.7599129222730333
