model,quality
deepseek_8b_ol_q4km,1.9931494409811907
gemma_2b_hf_4bit,-4.042187320224616
gemma_2b_hf_8bit,-4.017759775840344
gemma_4b_ol_q4km,1.2217848061391783
phi3_4b_hf_4bit,-0.16086920917414432
phi3_4b_hf_8bit,-0.591814491194174
qwen25_3b_hf_4bit,2.3294444428721843
qwen25_3b_hf_8bit,-0.2571333723059813
qwen25_7b_hf_4bit,1.8886680183610691
qwen_4b_ol_q4km,1.9118214271704863
qwen_8b_ol_q4km,-0.27510396678484894
