任务类型 \ 模型,deepseek-r1:8b,gemma3:4b,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,qwen--qwen2.5-7b-instruct:8bit,qwen3:4b,qwen3:8b
code,0.578205297540241,0.6285483673707877,0.5752052923666441,0.2799436841853057,0.27756590077401294,0.2637201458694258,0.5459004847987922,0.31955667237494745,0.29169510328495785,0.06334840420030831,1.0,0.5918597007925337
creative,0.5327164022954052,0.5979172727423184,0.46862668679643127,0.23419094839525778,0.395789756686414,0.32097575118956556,0.5379463383398205,0.30033754123690964,0.2874526110979417,0.06970523127661275,1.0,0.5405506748417607
math,0.4685506674213811,0.6977425579836721,0.4131093481796874,0.1236776127966214,0.268708645096169,0.17360279327931658,0.458287536177023,0.18569264237985886,0.1726568326063045,,1.0,0.46853314880975117
multi_turn,0.4026748842039185,0.630527631633778,0.4850052579679273,0.14404767910006322,0.4317105799895057,0.2531631561166613,0.4951036122687603,0.1851716471867528,0.1471588701855439,,1.0,0.42338739929679603
qa,0.4585391398905646,0.7559825768396796,0.4687811707779206,0.13488856504316332,0.4125939301997825,0.21464679225836716,0.45353652753437157,0.16999285312541412,0.155108263313308,,1.0,0.4433538565607681
reasoning,0.47307936573685844,0.6823630296547668,0.42844902174130617,0.10967705547538238,0.42589067257833113,0.2495984074397283,0.4473352624130531,0.1892378960490663,0.17551500101185066,,1.0,0.4723770862146972
summary,0.49175732166959246,0.38517833018305786,0.26822815759160823,0.0354993131047552,0.3787883655087855,0.2146165104782851,0.44054059413878915,0.1800087284397691,0.1926203479637225,,1.0,0.4901646863064896
translation,0.4258005102760384,0.7307712689755951,0.4838363538927454,0.12422326169363945,0.46602158375470193,0.2414116643264845,0.4584257501637621,0.17080091231225714,0.14109491643460287,,1.0,0.4664239076189455
