model,pca_综合得分
gemma_4b_ol_q4km,0.8466130255803448
qwen25_3b_hf_4bit,0.7357985868038825
deepseek_8b_ol_q4km,0.6718487716670756
qwen_8b_ol_q4km,0.6398738640986725
qwen25_3b_hf_8bit,0.11558110235886715
phi3_4b_hf_4bit,-0.09115805912280509
qwen25_7b_hf_4bit,-0.09115805912280509
phi3_4b_hf_8bit,-0.3348353668632976
gemma_2b_hf_8bit,-0.5181422165251408
gemma_2b_hf_4bit,-0.5181422165251413
qwen_4b_ol_q4km,-1.4562794323496537
