任务,模型数量,均值,标准差,变异系数(%),最小值,最大值,范围,相对范围(%),数据说明
code,12,1790.5508333333335,2045.422017123998,114.23423334573475,336.91,7907.65,7570.74,422.8162562637847,单次测量平均值
creative,12,1038.4675,1204.856955735448,116.02259634850856,89.03,4634.56,4545.530000000001,437.71519089427454,单次测量平均值
math,11,544.2254545454546,383.15299477789904,70.40335794251195,107.17,1271.57,1164.3999999999999,213.9554462722668,单次测量平均值
multi_turn,11,1613.2145454545455,704.3154763934077,43.659132530010574,611.46,3052.13,2440.67,151.29233782802942,单次测量平均值
qa,11,387.4418181818182,168.74760992785536,43.554309836700625,136.8,732.27,595.47,153.69275386802946,单次测量平均值
reasoning,11,640.6563636363636,376.0900431884026,58.70386443267599,58.13,1267.88,1209.75,188.82977968617413,单次测量平均值
summary,11,339.0372727272727,219.4284623329849,64.7210439630621,31.41,700.03,668.62,197.21135514732896,单次测量平均值
translation,11,471.99909090909097,203.84228886345176,43.18700878657257,170.58,886.31,715.7299999999999,151.6380039252772,单次测量平均值
