任务,模型,样本量,均值,标准差,中位数,最小值,最大值
summary,deepseek-r1:8b,5,438.98760810730465,42.48442866290305,458.7605386092663,373.83094657433037,481.34036925899983
summary,gemma3:4b,5,71.78077997944355,11.96461382886561,74.06197403037547,56.518130107879635,84.57903588628768
summary,google--gemma-2b-it:4bit,5,31.41483060662747,50.29204455382221,10.193267903327943,4.828883525013923,121.27838570785522
summary,google--gemma-2b-it:8bit,5,46.542533881187445,82.78804634561358,9.674293210029603,9.1912436978817,194.63765957570075
summary,microsoft--phi-3-mini-4k-instruct:4bit,5,383.6018713267326,113.55554493189213,379.09908868849277,203.1385797334909,495.09509469962114
summary,microsoft--phi-3-mini-4k-instruct:8bit,5,452.40425519340045,157.0089469189601,453.6053926883936,197.75219657695294,584.9941416393519
summary,qwen--qwen2.5-3b-instruct:4bit,5,365.77986983144285,41.12181884419191,385.07232882201674,320.4254449186325,409.721941035986
summary,qwen--qwen2.5-3b-instruct:8bit,5,571.1294137212515,66.76193924883623,614.8323404365779,497.57675649809835,624.6872508138418
summary,qwen--qwen2.5-7b-instruct:4bit,5,700.0343429092646,110.89108940542087,737.6183007677794,582.3247231340409,834.6534652415513
summary,qwen3:4b,5,233.63843381175994,29.34175993631297,239.26677285170555,187.14578960978986,267.0874733991623
summary,qwen3:8b,5,434.10877193374637,58.58308589095859,461.5575009436607,371.0639844180346,495.74955321729186
