任务,样本量,均值,标准差,中位数,最小值,最大值
code,55,1234.450094801534,885.9941309019945,1075.195694344163,232.47247146630286,4929.718513014794
creative,55,711.5519512861881,442.99697564020596,773.7239338572026,9.594089662194254,1736.7314518746139
math,55,544.2265653429941,410.43625649297945,420.56430213356015,7.969139488220215,1861.8878758949038
multi_turn,55,1613.2151360104363,835.4444474053671,1444.1755710709097,354.47347416055203,4207.356881438374
qa,55,387.44121086739193,189.7018016272541,363.6952183983326,72.36951903665066,954.1819519211055
reasoning,55,640.6561933841466,416.45251384870636,636.9637285810709,21.173607328414917,1856.2028949217795
summary,55,339.0384283001965,223.35403823483585,376.3934238455295,4.828883525013923,834.6534652415513
translation,55,472.00122690744837,208.7966720826396,458.329158739686,35.170524345636366,974.8978428535462
