任务,模型,样本量,均值,标准差,中位数,最小值,最大值
math,deepseek-r1:8b,5,789.8264931917905,235.1965993349018,767.8798389544487,603.0929842444658,1186.5538998577592
math,gemma3:4b,5,346.8040997459888,91.11970679546266,307.7080648174286,253.72262195610995,477.33149233841897
math,google--gemma-2b-it:4bit,5,107.17122361803054,82.13770857377602,101.15949116981031,8.523508503675462,223.95933579087256
math,google--gemma-2b-it:8bit,5,144.96268514387606,121.77215973512418,122.2400160392523,7.969139488220215,338.76583126115804
math,microsoft--phi-3-mini-4k-instruct:4bit,5,220.80086568458077,125.94193745072863,230.62147888791563,23.53400413000584,374.0137992756366
math,microsoft--phi-3-mini-4k-instruct:8bit,5,245.0031303935766,121.54644216684844,292.32919979369643,93.68453063941003,355.8263079352379
math,qwen--qwen2.5-3b-instruct:4bit,5,635.9631941335201,193.15438807519027,614.9899191087484,484.1713216274978,958.9397293423415
math,qwen--qwen2.5-3b-instruct:8bit,5,1004.9392396960259,306.50596850002245,964.5660585975647,770.1023838459255,1522.4732556315662
math,qwen--qwen2.5-7b-instruct:4bit,5,1271.5747205120801,345.905263163522,1212.8885887831448,968.6241235126258,1861.8878758949038
math,qwen3:4b,5,428.1854501842498,135.49448637068593,412.6068461571932,319.8457211319208,656.3519796757698
math,qwen3:8b,5,791.2611164692164,232.40277738523403,760.3912082629205,613.9921724457741,1185.13431793654
