组1,组2,U统计量,p值,校正后显著性,是否显著,均值差
code,creative,2079.0,0.0007153431598553418,0.0017857142857142859,是,522.898143515346
code,math,2323.0,1.2834644450228241e-06,0.0017857142857142859,是,690.2235294585399
code,multi_turn,1082.0,0.01015218238139689,0.0017857142857142859,否,-378.7650412089022
code,qa,2546.0,6.598623548827488e-10,0.0017857142857142859,是,847.0088839341422
code,reasoning,2161.0,0.00010713466333870644,0.0017857142857142859,是,593.7939014173875
code,summary,2585.0,1.4688945522887115e-10,0.0017857142857142859,是,895.4116665013375
code,translation,2384.0,1.91955016856858e-07,0.0017857142857142859,是,762.4488678940857
creative,math,1869.0,0.03331887905334289,0.0017857142857142859,否,167.32538594319396
creative,multi_turn,481.0,7.116899649131484e-10,0.0017857142857142859,是,-901.6631847242481
creative,qa,2150.0,0.00014005089701679652,0.0017857142857142859,是,324.1107404187962
creative,reasoning,1709.0,0.24131092894559814,0.0017857142857142859,否,70.89575790204151
creative,summary,2311.0,1.8371472063393967e-06,0.0017857142857142859,是,372.51352298599164
creative,translation,2021.0,0.0023902659653230276,0.0017857142857142859,否,239.55072437873974
math,multi_turn,288.0,2.5310506030811915e-13,0.0017857142857142859,是,-1068.9885706674422
math,qa,1784.0,0.10521567445486135,0.0017857142857142859,否,156.78535447560222
math,reasoning,1280.0,0.16546321919546492,0.0017857142857142859,否,-96.42962804115245
math,summary,1922.0,0.014482752289994393,0.0017857142857142859,否,205.18813704279768
math,translation,1548.0,0.8342647326594851,0.0017857142857142859,否,72.22533843554578
multi_turn,qa,2948.0,9.600303611569444e-18,0.0017857142857142859,是,1225.7739251430444
multi_turn,reasoning,2649.0,1.1122567151043206e-11,0.0017857142857142859,是,972.5589426262896
multi_turn,summary,2954.0,7.024323247855702e-18,0.0017857142857142859,是,1274.1767077102397
multi_turn,translation,2895.0,1.4349633717547365e-16,0.0017857142857142859,是,1141.2139091029878
qa,reasoning,907.0,0.0002982932471420175,0.0017857142857142859,是,-253.21498251675467
qa,summary,1626.0,0.4993388539602015,0.0017857142857142859,否,48.40278256719546
qa,translation,1114.0,0.01734547249787803,0.0017857142857142859,否,-84.56001604005644
reasoning,summary,2255.0,9.173797558203672e-06,0.0017857142857142859,是,301.61776508395013
reasoning,translation,1940.0,0.010690136783955431,0.0017857142857142859,否,168.65496647669823
summary,translation,1068.0,0.007947398915965336,0.0017857142857142859,否,-132.9627986072519
