任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
multi_turn,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,1564.597973065996,2409.321511347437,3.0,0.05555555555555555,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,1564.597973065996,3052.1332363580705,2.0,0.031746031746031744,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:4b,1564.597973065996,1065.1694531396388,21.0,0.09523809523809523,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:8b,1564.597973065996,1758.1294586513518,10.0,0.6904761904761905,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,1987.9318975857016,1546.8454665736674,19.0,0.2222222222222222,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:8bit,1987.9318975857016,2409.321511347437,7.0,0.30952380952380953,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,1987.9318975857016,3052.1332363580705,5.0,0.15079365079365079,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:4b,1987.9318975857016,1065.1694531396388,22.0,0.05555555555555555,1.0,否
multi_turn,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:8b,1987.9318975857016,1758.1294586513518,18.0,0.30952380952380953,1.0,否
multi_turn,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,1546.8454665736674,2409.321511347437,4.0,0.09523809523809523,1.0,否
multi_turn,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,1546.8454665736674,3052.1332363580705,0.0,0.007936507936507936,0.4365079365079365,否
multi_turn,qwen--qwen2.5-3b-instruct:4bit,qwen3:4b,1546.8454665736674,1065.1694531396388,22.0,0.05555555555555555,1.0,否
multi_turn,qwen--qwen2.5-3b-instruct:4bit,qwen3:8b,1546.8454665736674,1758.1294586513518,10.0,0.6904761904761905,1.0,否
multi_turn,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,2409.321511347437,3052.1332363580705,7.0,0.30952380952380953,1.0,否
multi_turn,qwen--qwen2.5-3b-instruct:8bit,qwen3:4b,2409.321511347437,1065.1694531396388,25.0,0.007936507936507936,0.4365079365079365,否
multi_turn,qwen--qwen2.5-3b-instruct:8bit,qwen3:8b,2409.321511347437,1758.1294586513518,20.0,0.15079365079365079,1.0,否
multi_turn,qwen--qwen2.5-7b-instruct:4bit,qwen3:4b,3052.1332363580705,1065.1694531396388,25.0,0.007936507936507936,0.4365079365079365,否
multi_turn,qwen--qwen2.5-7b-instruct:4bit,qwen3:8b,3052.1332363580705,1758.1294586513518,23.0,0.031746031746031744,1.0,否
multi_turn,qwen3:4b,qwen3:8b,1065.1694531396388,1758.1294586513518,3.0,0.05555555555555555,1.0,否
