任务,样本量,均值,标准差,中位数,最小值,最大值
code,12,1790.5508333333335,2045.422017123998,1214.085,336.91,7907.65
creative,12,1038.4675,1204.856955735448,828.345,89.03,4634.56
math,11,544.2254545454546,383.15299477789904,428.19,107.17,1271.57
multi_turn,11,1613.2145454545455,704.3154763934077,1564.6,611.46,3052.13
qa,11,387.4418181818182,168.74760992785536,363.11,136.8,732.27
reasoning,11,640.6563636363636,376.0900431884026,731.33,58.13,1267.88
summary,11,339.0372727272727,219.4284623329849,383.6,31.41,700.03
translation,11,471.99909090909097,203.84228886345176,468.53,170.58,886.31
