任务,模型,样本量,均值,标准差,中位数,最小值,最大值
multi_turn,deepseek-r1:8b,5,1755.2745104012968,489.73308718061395,1539.4972560607193,1336.2266372513768,2538.8133796120883
multi_turn,gemma3:4b,5,945.8122606679915,468.1057449981483,958.4681712327002,354.47347416055203,1613.1817419961692
multi_turn,google--gemma-2b-it:4bit,5,611.4642893908979,118.80600677529425,615.6211063858271,479.22706665611275,787.8339101461173
multi_turn,google--gemma-2b-it:8bit,5,1048.6864389327525,207.196753392259,1053.0179441802502,751.8795680772066,1326.649353880644
multi_turn,microsoft--phi-3-mini-4k-instruct:4bit,5,1564.597973065996,482.03544852445816,1480.5450264720916,1190.4396930974722,2368.1231425665615
multi_turn,microsoft--phi-3-mini-4k-instruct:8bit,5,1987.9318975857016,699.1904568598599,1511.956601549387,1473.3477589659692,2936.012430482745
multi_turn,qwen--qwen2.5-3b-instruct:4bit,5,1546.8454665736674,469.15982522410894,1417.7164555045365,1124.1587830963138,2170.3775179110767
multi_turn,qwen--qwen2.5-3b-instruct:8bit,5,2409.321511347437,698.2669011535688,2279.4594438649415,1736.7093652654885,3333.178402610421
multi_turn,qwen--qwen2.5-7b-instruct:4bit,5,3052.1332363580705,900.209278968934,2800.542671159029,2190.7898907159565,4207.356881438374
multi_turn,qwen3:4b,5,1065.1694531396388,321.8737301799991,1032.6570797315835,792.3130252386331,1600.819772497058
multi_turn,qwen3:8b,5,1758.1294586513518,602.4094499803798,1444.1755710709097,1348.02250262022,2783.2104899941683
