model,experiment_id,task_type,throughput_tps,latency_s,latency_per_token_ms,ttft_s,token_count,cpu_percent_avg,cpu_percent_peak,mem_used_avg_mb,mem_used_peak_mb,gpu_util_avg,gpu_util_peak,gpu_mem_avg_mb,gpu_mem_peak_mb,gpu_power_avg_w,gpu_power_peak_w,gpu_energy_j,gpu_temp_avg_c,cpu_energy_j,response_length,avg_response_length,temperature,max_tokens,norm_throughput,norm_latency,norm_energy,norm_gpu_util,efficiency_score,norm_quality,qe_ratio
deepseek_8b_ol_q4km,exp_20260303_203704_2759390320288,reasoning,40.75573129961362,7.851656436920166,24.53642636537552,,320,8.376315789473685,13.7,9569.820415296053,9576.24609375,88.94736842105263,100,5692.6171875,5692.6171875,77.58892105263158,93.394,614.711220369935,59.26315789473684,29.803133988976484,534,534.0,0.1,320,0.5507922263923555,0.9156654999809901,0.6765514223372734,0.9672277627255432,0.6979819672524212,0.49951409135082603,1.6329636042639264
deepseek_8b_ol_q4km,exp_20260303_203714_2759390320288,reasoning,40.24444569872725,9.939259767532349,24.84814941883087,,400,9.058333333333334,19.3,9564.892333984375,9604.0234375,83.58333333333333,95,5692.6171875,5692.6171875,76.41220833333334,93.948,770.2551224570277,58.958333333333336,41.19088602125645,638,638.0,0.1,400,0.5424051667417278,0.8881027373825133,0.5917877059548019,0.8803590987325927,0.6609291996978857,0.6005830903790087,1.7491669021028406
deepseek_8b_ol_q4km,exp_20260303_203727_2759390320288,reasoning,40.83870649924847,7.835703611373901,24.48657378554344,,320,9.734210526315788,26.9,9570.485300164473,9612.0234375,84.42105263157895,96,5692.6171875,5692.6171875,79.96318421052631,95.14,631.9044879963398,58.921052631578945,35.1022537636757,461,461.0,0.1,320,0.5521533403131342,0.9158761261746059,0.6671819437449434,0.8939256684976405,0.6957787571011185,0.42857142857142855,1.3957408624742909
deepseek_8b_ol_q4km,exp_20260303_203737_2759390320288,reasoning,41.719587801754415,9.587822437286377,23.969556093215942,,400,7.315217391304347,10.6,9529.401579483696,9547.80078125,85.28260869565217,97,5692.6171875,5692.6171875,78.85878260869568,93.152,761.9886030586955,59.15217391304348,32.039260842204094,628,628.0,0.1,400,0.566603197724397,0.8927427873190937,0.5962925492585149,0.9078782663120012,0.6733518800630414,0.5908649173955296,1.7848456052808157
deepseek_8b_ol_q4km,exp_20260303_203749_2759390320288,summary,37.84692894883145,6.605555772781372,26.42222309112549,,250,7.521875,15.6,9525.794677734375,9529.0625,81.5625,95,5692.6171875,5692.6171875,72.18184375,92.195,481.34036925899983,58.3125,23.033063952326774,418,418.0,0.7,250,0.6406330472456697,0.8286698893933668,0.42576841391189474,0.9383296460176992,0.6325847098898464,0.5971428571428572,1.6086864338899851
deepseek_8b_ol_q4km,exp_20260303_203757_2759390320288,summary,37.774410889337375,5.294589519500732,26.472947597503662,,200,7.788461538461537,19.6,9532.73046875,9568.33203125,86.92307692307692,100,5692.6171875,5692.6171875,78.61161538461539,93.974,420.69151024651524,57.92307692307692,19.224184226989742,338,338.0,0.7,200,0.6393539925508672,0.8663430625367751,0.4988547749920029,1.0,0.6653009482789802,0.4828571428571429,1.4298186792113197
deepseek_8b_ol_q4km,exp_20260303_203805_2759390320288,summary,39.5469130996849,6.321605920791626,25.286423683166504,,250,8.070967741935483,11.4,9573.83505544355,9585.45703125,78.25806451612904,95,5692.6171875,5692.6171875,70.80358064516129,92.88,458.7605386092663,57.54838709677419,23.48322508335114,410,410.0,0.7,250,0.6706169260809366,0.8368297424111583,0.4529787799907423,0.9003140165572368,0.6551893271529448,0.5857142857142857,1.6789638286080375
deepseek_8b_ol_q4km,exp_20260303_203813_2759390320288,summary,39.30789677583523,6.3600451946258545,25.440180778503418,,250,7.332258064516129,12.0,9567.373487903225,9602.7421875,78.12903225806451,95,5692.6171875,5692.6171875,71.85706451612903,92.419,460.3146758474111,57.225806451612904,21.626214682459832,449,449.0,0.7,250,0.6664012182519187,0.8357251148778103,0.45110592966503854,0.8988295746502998,0.6526098006636222,0.6414285714285715,1.8227376482012674
deepseek_8b_ol_q4km,exp_20260303_203822_2759390320288,summary,36.35299458189827,5.501610040664673,27.508050203323364,,200,8.077777777777778,17.4,9566.981047453704,9590.5859375,83.70370370370371,95,5692.6171875,5692.6171875,67.09322222222224,91.715,373.8309465743303,56.2962962962963,19.958014887571334,339,339.0,0.7,200,0.6142834209721088,0.8603939239387899,0.5553252203182323,0.962962962962963,0.6704291116659502,0.48428571428571426,1.4556186388965864
deepseek_8b_ol_q4km,exp_20260303_203830_2759390320288,translation,36.52063959660514,6.4073357582092285,27.381776744483883,5.701661825180054,234,8.15806451612903,14.6,9567.06161794355,9582.83203125,84.70967741935483,100,5692.6171875,5692.6171875,69.03358064516131,92.084,451.543661518693,56.225806451612904,24.118816148042683,21,21.0,0.2,300,0.5408611031989523,0.8765073994423717,0.5569213228427051,0.9294644554346485,0.6463730579651039,0.0020013342228152103,0.033004524240295374
deepseek_8b_ol_q4km,exp_20260303_203838_2759390320288,translation,40.121066711482236,7.402594804763794,24.924561632201325,6.757485628128052,297,7.841666666666667,16.7,9424.324001736111,9537.04296875,79.33333333333333,93,5692.6171875,5692.6171875,73.9726388888889,92.444,552.3113234004975,57.138888888888886,26.612449555993084,22,22.0,0.2,300,0.6079528691840379,0.8505563881688147,0.44969057633019305,0.8427581929080947,0.6332552370233175,0.00266844563042028,0.03362606962423618
