task_type,total_samples,num_models,num_questions,avg_response_length,avg_throughput,avg_latency,avg_energy
code,60,12,5,2053.266666666667,24.75346931926532,50.25902845064799,1790.5503026943684
creative,56,12,5,420.0,26.35505019852004,22.009356451886042,781.605646010039
math,55,11,5,860.8181818181819,27.311539446994022,14.15439941666343,544.2265653429941
multi_turn,55,11,5,416.56363636363636,28.087320940196367,43.48721740462563,1613.215136010437
qa,55,11,5,900.3636363636364,26.45384710889054,10.961472489617087,387.44121086739193
reasoning,55,11,5,453.27272727272725,26.977280274629273,17.177121309800583,640.6561933841467
summary,55,11,5,253.05454545454546,21.545208162710676,9.62810173034668,339.0384283001965
translation,55,11,5,835.9090909090909,27.05069516285383,13.478551184047353,472.0012269074483
