任务类型 \ 模型,deepseek-r1:8b,gemma3:4b,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,qwen--qwen2.5-7b-instruct:8bit,qwen3:4b,qwen3:8b
code,712.0,242.0,416.0,341.0,262.0,387.0,815.0,815.0,811.0,813.0,816.0,816.0
creative,423.0,152.0,70.0,106.0,481.0,388.0,480.0,480.0,480.0,500.0,480.0,440.0
math,408.0,275.0,79.0,67.0,133.0,123.0,407.0,407.0,407.0,,408.0,408.0
multi_turn,843.0,695.0,439.0,492.0,921.0,941.0,976.0,976.0,977.0,,922.0,866.0
qa,240.0,240.0,108.0,112.0,193.0,206.0,240.0,240.0,240.0,,240.0,240.0
reasoning,408.0,263.0,48.0,45.0,409.0,409.0,407.0,407.0,408.0,,408.0,408.0
summary,230.0,50.0,20.0,18.0,201.0,197.0,229.0,229.0,230.0,,230.0,230.0
translation,262.0,253.0,139.0,143.0,289.0,288.0,288.0,288.0,286.0,,288.0,288.0
