任务类型 \ 模型,deepseek-r1:8b,gemma3:4b,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,qwen--qwen2.5-7b-instruct:8bit,qwen3:4b,qwen3:8b
code,1405.2,336.91,597.57,755.44,604.14,1022.97,1426.58,2056.74,2767.82,7907.65,974.78,1630.81
creative,815.97,195.9,89.03,225.77,840.93,840.72,745.94,1186.67,1513.82,4634.56,519.73,852.57
math,789.83,346.8,107.17,144.96,220.8,245.0,635.96,1004.94,1271.57,,428.19,791.26
multi_turn,1755.27,945.81,611.46,1048.69,1564.6,1987.93,1546.85,2409.32,3052.13,,1065.17,1758.13
qa,454.69,313.72,136.8,232.98,314.22,426.93,363.11,578.55,732.27,,247.1,461.49
reasoning,792.3,340.86,58.13,95.06,731.33,901.9,643.2,996.97,1267.88,,428.41,791.18
summary,438.99,71.78,31.41,46.54,383.6,452.4,365.78,571.13,700.03,,233.64,434.11
translation,493.47,319.03,170.58,299.76,468.53,593.11,436.9,694.52,886.31,,297.56,532.22
