model,quality,energy,speed,energy_cost,time_cost,total_cost,cost_per_token,cbr,qpc,quality_norm,cost_norm,scenario_score,rank
qwen25_3b_hf_4bit,1.364158333982508,1.75040490797546,17.347807577692635,3.889788684389911e-05,0.004803680981595092,0.004842578868438991,4.842578868438991e-06,0.003549865692130929,281.7007984884396,1.0,0.6622560309321928,0.9324512061864386,1
qwen25_7b_hf_4bit,0.9105920165255426,3.4128483353884094,17.634268319199826,7.584107411974244e-05,0.004725647348951911,0.004801488423071654,4.801488423071654e-06,0.005272930506674357,189.64786255654658,0.8009192046402203,0.6663236633231104,0.7740000963767983,2
qwen25_3b_hf_8bit,0.9657875002250604,2.52360736196319,7.261225944404847,5.6080163599182e-05,0.01147648261758691,0.011532562781186093,1.1532562781186093e-05,0.011941097579435046,83.74439563430079,0.8251457849047709,0.0,0.6601166279238168,3
deepseek_8b_ol_q4km,0.4120580155927789,1.9735955056179777,41.08482400461627,4.385767790262173e-05,0.002028323970037453,0.0020721816479400746,2.0721816479400747e-06,0.005028858970159998,198.85226567970028,0.5821010481773465,0.9365036660957584,0.652981571761029,4
