model,bertscore_f1
gemma_2b_hf_8bit,0.8986430764198303
qwen_4b_ol_q4km,0.8062435865402222
qwen25_3b_hf_4bit,0.776035487651825
gemma_4b_ol_q4km,0.7746533513069153
qwen_8b_ol_q4km,0.728303587436676
qwen25_3b_hf_8bit,0.714720344543457
qwen25_7b_hf_4bit,0.7110785961151123
deepseek_8b_ol_q4km,0.7047282457351685
phi3_4b_hf_4bit,0.6826611280441284
phi3_4b_hf_8bit,0.679861581325531
gemma_2b_hf_4bit,0.655560314655304
