评分指标 \ 模型,bartscore_avg,bartscore_faith,bartscore_info,bertscore_f1,bertscore_precision,bertscore_recall,compliance_score,compression_ratio,deviation,in_range,information_density,length,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_l_f1,rouge_l_precision,rouge_l_recall,source_length
bartscore_avg,1.0,0.9387241970910827,0.95330503726794,0.853879662202334,0.6455341658404531,0.9081248500806983,-0.24057119888370532,0.4819849134737035,0.47036404980903995,-0.3847699765620401,0.5298249754119595,0.4756577216463957,0.5584283218319047,0.5551411414278385,0.5001609554570002,0.4831402913410074,0.5069646375525634,0.4188505546795579,0.5584283218319047,0.5551411414278385,0.5001609554570002,-0.08964046554956556
bartscore_faith,0.9387241970910827,1.0,0.790797254742078,0.8283088295103277,0.5392330990638482,0.9776924085049605,-0.34779621700813884,0.5601072977621747,0.5490376977121534,-0.36182626867803247,0.46785597854230765,0.5538421144023704,0.49853765677660455,0.501258216719602,0.43265117048689256,0.36709176231080276,0.40858442981576426,0.2743482368542067,0.49853765677660455,0.501258216719602,0.43265117048689256,-0.037429217351751656
bartscore_info,0.95330503726794,0.790797254742078,1.0,0.790567497718703,0.673875251970883,0.7560041966306649,-0.12246742676274679,0.36514700887154455,0.35420969098321725,-0.36624816984315556,0.5309366751653316,0.3594006486304297,0.5548475350416723,0.5466261882543264,0.5091055231181995,0.5363245515642493,0.5422757607463028,0.5034206717742687,0.5548475350416723,0.5466261882543264,0.5091055231181995,-0.1263907652982009
bertscore_f1,0.853879662202334,0.8283088295103277,0.790567497718703,1.0,0.9112924524789068,0.8812121738751538,-0.010828415085061388,0.04519564191540692,0.03290667010254378,-0.2818727098191351,0.05547498051487149,0.03965063918026724,0.08692172622128122,0.0948266631392384,0.03623614795085929,0.01861887224249149,0.04283286217541853,-0.027576388087956122,0.08692172622128122,0.0948266631392384,0.03623614795085929,-0.26703447204066333
bertscore_precision,0.6455341658404531,0.5392330990638482,0.673875251970883,0.9112924524789068,1.0,0.6089319907740681,0.23650588539090964,-0.33736667815514726,-0.34787399566080995,-0.1604786903091243,-0.19235241988658006,-0.34225269120784324,-0.14362388685241773,-0.133754501689313,-0.20375350380959148,-0.13249484014012503,-0.12961114484092162,-0.1325368402863449,-0.14362388685241773,-0.133754501689313,-0.20375350380959148,-0.3948344112409448
bertscore_recall,0.9081248500806983,0.9776924085049605,0.7560041966306649,0.8812121738751538,0.6089319907740681,1.0,-0.27324566487362606,0.4772398692114166,0.46682733870172627,-0.35423193143532333,0.33143837272746757,0.47251266627450295,0.33903008137722557,0.3436668410521185,0.30751123198741054,0.19268141795467134,0.23731717969253263,0.10110780930098709,0.33903008137722557,0.3436668410521185,0.30751123198741054,-0.045293671011308344
compliance_score,-0.24057119888370532,-0.34779621700813884,-0.12246742676274679,-0.010828415085061388,0.23650588539090964,-0.27324566487362606,1.0,-0.5883234570731147,-0.5648137054635562,0.10815346081196406,-0.4236525034876047,-0.5826708585169308,-0.3428781703142391,-0.3237414652582542,-0.42242027297955675,-0.28763421370790027,-0.28979616860847524,-0.2719200523202165,-0.3428781703142391,-0.3237414652582542,-0.42242027297955675,0.2897961686084748
compression_ratio,0.4819849134737035,0.5601072977621747,0.36514700887154455,0.04519564191540692,-0.33736667815514726,0.4772398692114166,-0.5883234570731147,1.0,0.9990367050101971,-0.2794381923057423,0.8191431075321889,0.9996997581330174,0.7533072827605152,0.7354406705088476,0.8077009413509448,0.6183656255428446,0.6481938877372916,0.5373284750670909,0.7533072827605152,0.7354406705088476,0.8077009413509448,0.40496379482815076
deviation,0.47036404980903995,0.5490376977121534,0.35420969098321725,0.03290667010254378,-0.34787399566080995,0.46682733870172627,-0.5648137054635562,0.9990367050101971,1.0,-0.2659350618848162,0.8156194941111039,0.9994327588746841,0.7509225961782501,0.7333262724577982,0.8042001195737516,0.616305484572901,0.6462613370677921,0.535112385836461,0.7509225961782501,0.7333262724577982,0.8042001195737516,0.4373388001041379
in_range,-0.3847699765620401,-0.36182626867803247,-0.36624816984315556,-0.2818727098191351,-0.1604786903091243,-0.35423193143532333,0.10815346081196406,-0.2794381923057423,-0.2659350618848162,1.0,-0.21792691996470293,-0.28327918781329303,-0.17637658922013474,-0.16653266487933174,-0.21729306038144836,-0.14795908853083373,-0.14907119849998599,-0.13987572123604708,-0.17637658922013474,-0.16653266487933174,-0.21729306038144836,0.14907119849998554
information_density,0.5298249754119595,0.46785597854230765,0.5309366751653316,0.05547498051487149,-0.19235241988658006,0.33143837272746757,-0.4236525034876047,0.8191431075321889,0.8156194941111039,-0.21792691996470293,1.0,0.8139820573729556,0.9135470277048011,0.8854449026512348,0.9944478026403548,0.8177692365644131,0.8320850241117597,0.7577620116392964,0.9135470277048011,0.8854449026512348,0.9944478026403548,0.32486627144549257
length,0.4756577216463957,0.5538421144023704,0.3594006486304297,0.03965063918026724,-0.34225269120784324,0.47251266627450295,-0.5826708585169308,0.9996997581330174,0.9994327588746841,-0.28327918781329303,0.8139820573729556,1.0,0.744172277320247,0.7256247322005376,0.8033228993891932,0.6106950722586367,0.6394174037599888,0.5320442092049618,0.744172277320247,0.7256247322005376,0.8033228993891932,0.4147532104776395
rouge_1_f1,0.5584283218319047,0.49853765677660455,0.5548475350416723,0.08692172622128122,-0.14362388685241773,0.33903008137722557,-0.3428781703142391,0.7533072827605152,0.7509225961782501,-0.17637658922013474,0.9135470277048011,0.744172277320247,1.0,0.9972160596120426,0.8739374338531057,0.942009642680441,0.9698438145083937,0.8515983167562302,1.0,0.9972160596120426,0.8739374338531057,0.262926695423854
rouge_1_precision,0.5551411414278385,0.501258216719602,0.5466261882543264,0.0948266631392384,-0.133754501689313,0.3436668410521185,-0.3237414652582542,0.7354406705088476,0.7333262724577982,-0.16653266487933174,0.8854449026512348,0.7256247322005376,0.9972160596120426,1.0,0.8429538836146553,0.9338379639456262,0.9678822128368041,0.8321037973680058,0.9972160596120426,1.0,0.8429538836146553,0.2482522394295866
rouge_1_recall,0.5001609554570002,0.43265117048689256,0.5091055231181995,0.03623614795085929,-0.20375350380959148,0.30751123198741054,-0.42242027297955675,0.8077009413509448,0.8042001195737516,-0.21729306038144836,0.9944478026403548,0.8033228993891932,0.8739374338531057,0.8429538836146553,1.0,0.7637866102887232,0.7789537691942919,0.7043694344293144,0.8739374338531057,0.8429538836146555,1.0,0.3239213693679282
rouge_2_f1,0.4831402913410074,0.36709176231080276,0.5363245515642493,0.01861887224249149,-0.13249484014012503,0.19268141795467134,-0.28763421370790027,0.6183656255428446,0.616305484572901,-0.14795908853083373,0.8177692365644131,0.6106950722586367,0.942009642680441,0.9338379639456262,0.7637866102887232,1.0,0.9925397395315614,0.9734730734924879,0.942009642680441,0.9338379639456262,0.7637866102887231,0.22056438656257
rouge_2_precision,0.5069646375525634,0.40858442981576426,0.5422757607463028,0.04283286217541853,-0.12961114484092162,0.23731717969253263,-0.28979616860847524,0.6481938877372916,0.6462613370677921,-0.14907119849998599,0.8320850241117597,0.6394174037599888,0.9698438145083937,0.9678822128368041,0.7789537691942919,0.9925397395315614,1.0,0.9383148632568367,0.9698438145083937,0.967882212836804,0.7789537691942919,0.22222222222222296
rouge_2_recall,0.4188505546795579,0.2743482368542067,0.5034206717742687,-0.027576388087956122,-0.1325368402863449,0.10110780930098709,-0.2719200523202165,0.5373284750670909,0.535112385836461,-0.13987572123604708,0.7577620116392964,0.5320442092049618,0.8515983167562302,0.8321037973680058,0.7043694344293144,0.9734730734924879,0.9383148632568367,1.0,0.8515983167562302,0.8321037973680058,0.7043694344293143,0.2085144140570759
rouge_l_f1,0.5584283218319047,0.49853765677660455,0.5548475350416723,0.08692172622128122,-0.14362388685241773,0.33903008137722557,-0.3428781703142391,0.7533072827605152,0.7509225961782501,-0.17637658922013474,0.9135470277048011,0.744172277320247,1.0,0.9972160596120426,0.8739374338531057,0.942009642680441,0.9698438145083937,0.8515983167562302,1.0,0.9972160596120426,0.8739374338531057,0.262926695423854
