model,quality_normalized,weighted_quality,energy,speed
qwen25_7b_hf_4bit,1.0,4.382268794958636,1267.88,19.309039280643635
deepseek_8b_ol_q4km,0.8956567259023324,4.196218690318752,792.3,41.25379170879676
qwen25_3b_hf_4bit,0.8770131843459709,4.16297617528925,643.2,16.804293971924032
gemma_4b_ol_q4km,0.8891314463677858,4.18458373875426,340.86,49.52919020715631
qwen_4b_ol_q4km,0.5700189309712136,3.61558763052541,428.41,64.55696202531645
qwen_8b_ol_q4km,0.5700189309712136,3.61558763052541,791.18,41.08761329305136
qwen25_3b_hf_8bit,0.5103334798845167,3.5091650123338,996.97,7.485745815707192
phi3_4b_hf_8bit,0.1511361971484019,2.8686954409375347,901.9,13.6015962753575
phi3_4b_hf_4bit,0.111492243223115,2.798007973633849,731.33,19.815891472868216
gemma_2b_hf_8bit,0.051522487145223,2.691078423166834,95.06,9.414225941422592
gemma_2b_hf_4bit,0.0,2.599210842744704,58.13,20.96069868995633
