model,quality,energy,speed
deepseek_8b_ol_q4km,0.41205801559277877,1.9238627612403079,39.707668522584
gemma_2b_hf_4bit,-0.9141443854600094,1.3343297636328073,21.68436890294063
gemma_2b_hf_8bit,-0.5433066348226926,2.1976080952138433,10.981540421964699
gemma_4b_ol_q4km,-0.14125536484556042,1.320271031077829,42.92699334008397
phi3_4b_hf_4bit,-0.6148910367539034,1.8085954360039274,19.237306671166106
phi3_4b_hf_8bit,-0.8235671034167125,2.205067714422381,12.94120251037551
qwen25_3b_hf_4bit,1.364158333982508,1.5820872337404037,16.89922906911503
qwen25_3b_hf_8bit,0.9657875002250604,2.4615292231934762,7.4329433689810545
qwen25_7b_hf_4bit,0.9105920165255426,3.1417370493645316,18.92943433284921
qwen_4b_ol_q4km,0.08792526241817952,1.065066833617505,61.113565355559004
qwen_8b_ol_q4km,-0.7033566034451912,1.92471800900861,39.879089155396706
