model,creative,summary,translation,code,math,qa,reasoning,aggregated_quality,aggregated_quality_raw
deepseek_8b_ol_q4km,-0.6273380726374979,-0.4582941368531509,3.202389402068132,0.2529390287232397,0.4329732700046325,1.3256602111757236,0.9504811053868567,0.41205801559277894,0.41205801559277894
gemma_2b_hf_4bit,-1.2951587382988425,-1.0318174815569685,-0.30799409631136704,0.3978850432914807,-1.7779387564727998,-1.787497495161415,-1.9276139527282372,-0.9141443854600096,-0.9141443854600096
gemma_2b_hf_8bit,-0.9067829854175254,0.30884403854137465,-0.33482675924732175,-0.4829881809359054,-1.7662581170409288,-2.041574063938947,-1.9159650924316305,-0.5433066348226926,-0.5433066348226926
gemma_4b_ol_q4km,-0.8863946648437302,-0.5488406299460585,-0.4409194755450924,3.79575172248501,0.08540392877694399,-0.03737652968864687,0.5826373824294652,-0.14125536484556053,-0.14125536484556053
phi3_4b_hf_4bit,-0.7615165057125207,-0.9836632006213758,0.2953621899268491,-1.5060412971639807,-0.40636628004080555,0.3646610977536682,-0.07671433993593521,-0.6148910367539034,-0.6148910367539034
phi3_4b_hf_8bit,-1.0628197905611796,-1.090203911577484,-0.09840823844342142,-1.5361865100123984,-0.225404435651076,0.37285800919214446,-0.28222093146075705,-0.8235671034167125,-0.8235671034167125
qwen25_3b_hf_4bit,1.99854562228909,2.2549343028771194,-0.4174825969927574,0.9747574630949375,1.393327677591025,-0.16429497173400082,1.1108514411786743,1.364158333982508,1.364158333982508
qwen25_3b_hf_8bit,1.5984843606805896,1.5578543692779772,-0.2798561545450789,0.11423921858114779,1.1256590872355134,0.25237135486865014,-0.12262021447871245,0.9657875002250604,0.9657875002250604
qwen25_7b_hf_4bit,2.1724354092440272,0.17947140927263405,-0.4412320974262025,1.471860424166122,0.6077051411497169,-0.06554138963772345,0.9006566336124385,0.9105920165255426,0.9105920165255426
qwen_4b_ol_q4km,0.9965494703627934,0.34531505342812535,-0.62758203088038,-2.5212617160858892,-0.27762676934042335,0.8698047616570801,0.9116978918072155,0.08792526241817963,0.08792526241817963
qwen_8b_ol_q4km,-1.2260041051052042,-0.5335998128421926,-0.5494501426033596,-0.960955196143763,0.8085252537882017,0.9109290155134663,-0.13118992337937796,-0.7033566034451914,-0.7033566034451914
