model,quality,energy,speed,total_cost,qpc,cbr,rank
deepseek_8b_ol_q4km,0.7255444011239909,1.9436512683984368,50.47182189755951,0.0016942785437166611,428.232065981546,0.0023351824383069284,1
qwen25_3b_hf_4bit,1.0215198483291554,1.5824372414080992,21.92968257833279,0.0038351898750170754,266.3544391852587,0.0037543958458468403,2
gemma_4b_ol_q4km,0.3643231048096987,1.3253468644233162,54.17201783414134,0.001567761720195828,232.3842329586867,0.004303217938963097,3
qwen25_7b_hf_4bit,0.6893365043401447,3.139517615225695,24.498602669573142,0.003471321606238659,198.58042052377664,0.0050357431883888415,4
qwen25_3b_hf_8bit,0.6065902888028696,2.462408767015603,9.451397325123462,0.008871758614297199,68.37317325398425,0.014625619265692454,5
qwen_4b_ol_q4km,-0.043300477007354,1.0763437288730175,79.90785592464624,0.0010667865923608504,-40.58963368814746,inf,6
phi3_4b_hf_8bit,-0.5603408297877388,2.1935057166445566,16.74905957665237,0.005024148292027618,-111.52951649076415,inf,7
phi3_4b_hf_4bit,-0.4391826193991572,1.7948717122580509,24.855291420894037,0.003392626181876497,-129.4521105052136,inf,8
qwen_8b_ol_q4km,-0.2402492729674613,1.9378999091527418,51.050919428882565,0.0016754215922203893,-143.39630937253568,inf,9
gemma_2b_hf_8bit,-1.019935880067269,2.189342550791787,14.596682419097457,0.005757711892383969,-177.14256967535877,inf,10
gemma_2b_hf_4bit,-1.1043050681768785,1.3416444657299593,29.506452348614317,0.0028540553501266155,-386.92489552730217,inf,11
