timestamp,model,task,load,run,latency_s,toks_per_s,gpu_mem_peak_mb,gpu_util_avg,gpu_energy_j,bartscore
20251210_145152,deepseek-r1:8b,qa,custom,1,19.444172620773315,45.83750380832257,6424.43359375,86.34444444444445,1634.6629792225367,-3.7397022247314453
20251210_145152,gemma3:4b,qa,custom,2,14.589125871658325,79.96805937035812,7934.39453125,73.11764705882354,1068.3503388223648,-3.8822238445281982
20251210_145152,qwen3:8b,qa,custom,3,108.38013410568237,14.277068262343885,8103.6328125,96.33197556008146,5180.9581556348785,-4.27036190032959
20251210_145152,qwen3:4b,qa,custom,4,31.56495189666748,77.35987186470447,6297.71875,87.81632653061224,2831.6796278495804,-4.1583757400512695
20251210_145152,deepseek-r1:8b,summary,custom,5,21.304397344589233,22.48730669377813,8094.3203125,85.73469387755102,1147.673556245804,-3.447384834289551
20251210_145152,gemma3:4b,summary,custom,6,4.3308587074279785,83.02313177600746,7894.90625,37.1,166.93141131377217,-3.440948247909546
20251210_145152,qwen3:8b,summary,custom,7,17.260125875473022,24.928116133788173,8085.07421875,83.0,947.1192911474706,-3.7062294483184814
20251210_145152,qwen3:4b,summary,custom,8,50.93363428115845,74.4153172819976,6250.1015625,89.65677966101696,4694.7685268709665,-3.8105266094207764
20251210_145152,deepseek-r1:8b,code,custom,9,57.87547564506531,18.764462949915124,8085.9140625,93.59469696969697,3084.317326381921,-4.462986469268799
20251210_145152,gemma3:4b,code,custom,10,16.556578636169434,79.71081041088429,7884.10546875,76.66233766233766,1303.5237610473635,-4.685938835144043
20251210_145152,qwen3:8b,code,custom,11,551.3827855587006,7.854339260194409,8087.82421875,98.47183673469388,21646.418585828305,-4.623388290405273
20251210_145152,qwen3:4b,code,custom,12,85.44420552253723,69.53598566466385,6231.14453125,90.97979797979798,7776.007406869887,-4.4885945320129395
20251210_145152,deepseek-r1:8b,creative,custom,13,44.79264259338379,21.0629933141658,8096.08203125,92.7156862745098,2522.6786027927405,
20251210_145152,gemma3:4b,creative,custom,14,7.576509475708008,79.90870407194663,7843.08203125,59.31428571428572,463.3215109686852,
20251210_145152,qwen3:8b,creative,custom,15,33.761613607406616,23.66466577984624,8100.39453125,88.8051948051948,1962.5203976295004,
20251210_145152,qwen3:4b,creative,custom,16,24.293325662612915,78.25642398264083,6196.53125,86.41592920353982,2156.404157685042,
