task_type,deepseek-r1:8b,gemma3:4b,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,qwen--qwen2.5-7b-instruct:8bit,qwen3:4b,qwen3:8b
code,16.94,5.62,18.12,28.80,15.11,30.91,46.56,111.85,45.59,246.10,13.39,19.43
creative,10.01,3.34,2.61,8.26,24.54,30.44,26.79,65.01,24.80,145.71,6.85,10.18
math,9.57,5.12,2.78,5.07,6.61,9.26,22.60,54.44,20.48,N/A,5.91,9.55
multi_turn,6.56,5.12,5.09,12.21,14.22,21.57,16.95,41.27,15.26,N/A,4.23,6.57
qa,5.91,4.57,4.41,8.51,9.21,15.52,14.86,31.32,12.08,N/A,3.71,6.13
reasoning,9.52,4.91,1.92,4.40,20.31,29.67,23.82,53.95,20.68,N/A,5.92,9.52
summary,5.61,1.78,0.88,2.14,10.24,15.07,13.71,30.93,11.67,N/A,3.72,5.73
translation,6.60,4.79,5.95,12.10,13.66,20.78,16.73,37.26,14.89,N/A,4.34,6.86
