task_type,deepseek-r1:8b,gemma3:4b,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,qwen--qwen2.5-7b-instruct:8bit,qwen3:4b,qwen3:8b
code,395.8,107.6,235.2,194.4,105.8,176.6,362.0,378.2,509.4,430.8,494.4,459.4
creative,352.8,211.0,79.8,154.8,335.8,258.6,766.2,757.4,802.6,725.0,671.2,117.0
math,213.4,159.4,41.6,35.0,74.0,73.0,228.4,239.2,272.6,N/A,139.2,271.2
multi_turn,250.0,396.1,229.0,262.0,244.7,243.4,547.3,619.5,523.7,N/A,384.6,331.0
qa,183.6,169.8,76.8,81.8,128.8,145.2,173.4,169.8,180.2,N/A,180.0,176.0
reasoning,641.8,409.4,67.4,66.2,321.8,297.8,664.4,660.0,665.2,N/A,637.4,554.6
summary,390.8,87.4,30.0,28.6,154.2,145.2,539.8,405.8,394.0,N/A,371.6,236.2
translation,95.8,721.2,146.2,144.6,814.2,694.0,778.8,1025.8,922.8,N/A,1189.0,1113.2
