task_type,deepseek-r1:8b,gemma3:4b,qwen3:4b,qwen3:8b
code,8028.084874153137,1926.374626159668,,21884.1392993927
creative,7703.216155370076,957.3395729064941,,8262.680864334106
math,7129.728078842163,926.5835762023926,6293.769121170044,
multi_turn,7363.183379173279,1403.4497737884521,9446.169018745422,10366.078933080038
qa,,921.2666034698486,,
reasoning,,904.3703556060791,,7064.598798751831
summary,,971.5949058532715,,5523.324489593506
translation,6579.667329788208,909.1104507446289,,
