task_type,deepseek-r1:8b,gemma3:4b,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,qwen--qwen2.5-7b-instruct:8bit,qwen3:4b,qwen3:8b
code,1396.7926630468262,333.23531955257624,598.666310390054,756.0504098411042,603.5933876367942,1020.861582240737,1425.0684877346998,2056.0145303130953,2721.437917679482,7889.148817300466,975.6603213822818,1621.1890764132754
creative,811.0613588908419,193.56709546292748,87.51626528550446,224.44296281942084,838.3071654470874,838.7858227478607,743.9040814958137,1185.675237850354,1508.5253753822885,4632.847724429042,510.8719529984636,842.6028572106594
math,781.8269302951987,342.04069462095714,105.25061927058213,144.26735041576345,219.42659397980304,243.4736540844123,633.8960367913261,1003.9983900435903,1265.2155138121284,,423.68109690690125,783.5802893306424
multi_turn,1743.8917214018547,939.2067516505913,607.916843011689,1047.1854998240838,1562.7231160930455,1985.8752931757874,1544.4427832110641,2408.4519290963535,3046.9170510004788,,1056.4112640206156,1748.121821740872
qa,449.3235562707811,309.4940176781744,134.70923650555903,231.68951683548966,311.74875903882867,425.33065798230484,361.5829870694523,577.4320446415452,726.0201866522368,,241.0592498812211,453.5017176425681
reasoning,785.5065866918289,335.7325893179216,57.73737540634246,94.60254262855716,728.2299745449562,900.1829405926832,640.7100150884464,995.9817870142695,1262.2696399169574,,421.8697222119016,781.9569919165793
summary,433.34893742659443,72.01428346331394,30.886884104613877,46.43736563767791,379.86798944039447,450.3341267110527,363.48152339875753,570.2775037329803,695.6090536686404,,230.16330723737573,428.03566541442706
translation,488.35474447114814,314.1489941053692,169.50853179659367,298.7022123935011,465.8192640454969,591.4330164538605,434.4197295096295,693.5478846261714,881.245617465157,,291.9357884917613,525.9096734257312
