task_type,deepseek-r1:8b,gemma3:4b,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,qwen--qwen2.5-7b-instruct:8bit,qwen3:4b,qwen3:8b
code,1396.79,333.24,598.67,756.05,603.59,1020.86,1425.07,2056.01,2721.44,7889.15,975.66,1621.19
creative,811.06,193.57,87.52,224.44,838.31,838.79,743.90,1185.68,1508.53,4632.85,510.87,842.60
math,781.83,342.04,105.25,144.27,219.43,243.47,633.90,1004.00,1265.22,N/A,423.68,783.58
multi_turn,1743.89,939.21,607.92,1047.19,1562.72,1985.88,1544.44,2408.45,3046.92,N/A,1056.41,1748.12
qa,449.32,309.49,134.71,231.69,311.75,425.33,361.58,577.43,726.02,N/A,241.06,453.50
reasoning,785.51,335.73,57.74,94.60,728.23,900.18,640.71,995.98,1262.27,N/A,421.87,781.96
summary,433.35,72.01,30.89,46.44,379.87,450.33,363.48,570.28,695.61,N/A,230.16,428.04
translation,488.35,314.15,169.51,298.70,465.82,591.43,434.42,693.55,881.25,N/A,291.94,525.91
