model,quality,energy,speed
deepseek_8b_ol_q4km,0.7255444011239909,1.9238627612403079,39.707668522584
gemma_2b_hf_4bit,-1.1043050681768785,1.3343297636328073,21.68436890294063
gemma_2b_hf_8bit,-1.019935880067269,2.1976080952138433,10.981540421964699
gemma_4b_ol_q4km,0.36432310480969876,1.320271031077829,42.92699334008397
phi3_4b_hf_4bit,-0.4391826193991572,1.8085954360039274,19.237306671166106
phi3_4b_hf_8bit,-0.5603408297877388,2.205067714422381,12.94120251037551
qwen25_3b_hf_4bit,1.0215198483291554,1.5820872337404037,16.89922906911503
qwen25_3b_hf_8bit,0.6065902888028696,2.4615292231934762,7.4329433689810545
qwen25_7b_hf_4bit,0.6893365043401447,3.1417370493645316,18.92943433284921
qwen_4b_ol_q4km,-0.04330047700735408,1.065066833617505,61.113565355559004
qwen_8b_ol_q4km,-0.2402492729674613,1.92471800900861,39.879089155396706
