model,code,math,qa,reasoning,creative,summary,translation,aggregated_quality,aggregated_quality_raw
deepseek_8b_ol_q4km,0.2529390287232397,0.4329732700046325,1.3256602111757236,0.9504811053868567,-0.6273380726374979,-0.4582941368531509,3.202389402068132,0.7255444011239909,0.7255444011239909
gemma_2b_hf_4bit,0.3978850432914807,-1.7779387564727998,-1.787497495161415,-1.9276139527282372,-1.2951587382988425,-1.0318174815569685,-0.30799409631136704,-1.1043050681768785,-1.1043050681768785
gemma_2b_hf_8bit,-0.4829881809359054,-1.7662581170409288,-2.041574063938947,-1.9159650924316305,-0.9067829854175254,0.30884403854137465,-0.33482675924732175,-1.019935880067269,-1.019935880067269
gemma_4b_ol_q4km,3.79575172248501,0.08540392877694399,-0.03737652968864687,0.5826373824294652,-0.8863946648437302,-0.5488406299460585,-0.4409194755450924,0.36432310480969876,0.36432310480969876
phi3_4b_hf_4bit,-1.5060412971639807,-0.40636628004080555,0.3646610977536682,-0.07671433993593521,-0.7615165057125207,-0.9836632006213758,0.2953621899268491,-0.4391826193991572,-0.4391826193991572
phi3_4b_hf_8bit,-1.5361865100123984,-0.225404435651076,0.37285800919214446,-0.28222093146075705,-1.0628197905611796,-1.090203911577484,-0.09840823844342142,-0.5603408297877388,-0.5603408297877388
qwen25_3b_hf_4bit,0.9747574630949375,1.393327677591025,-0.16429497173400082,1.1108514411786743,1.99854562228909,2.2549343028771194,-0.4174825969927574,1.0215198483291554,1.0215198483291554
qwen25_3b_hf_8bit,0.11423921858114779,1.1256590872355134,0.25237135486865014,-0.12262021447871245,1.5984843606805896,1.5578543692779772,-0.2798561545450789,0.6065902888028696,0.6065902888028696
qwen25_7b_hf_4bit,1.471860424166122,0.6077051411497169,-0.06554138963772345,0.9006566336124385,2.1724354092440272,0.17947140927263405,-0.4412320974262025,0.6893365043401447,0.6893365043401447
qwen_4b_ol_q4km,-2.5212617160858892,-0.27762676934042335,0.8698047616570801,0.9116978918072155,0.9965494703627934,0.34531505342812535,-0.62758203088038,-0.04330047700735408,-0.04330047700735408
qwen_8b_ol_q4km,-0.960955196143763,0.8085252537882017,0.9109290155134663,-0.13118992337937796,-1.2260041051052042,-0.5335998128421926,-0.5494501426033596,-0.2402492729674613,-0.2402492729674613
